a3,z_min,z_max
8.731543624161074157e-02,1.983793390768072429e-02,1.190925293310091809e-01
8.791946308724832293e-02,1.968706705898700185e-02,1.165134769092674299e-01
8.852348993288590429e-02,1.952402585183422509e-02,1.139184696207558439e-01
8.912751677852349952e-02,1.934742080543963919e-02,1.113086673703572171e-01
8.973154362416108087e-02,1.915766437660604282e-02,1.086808818891016326e-01
9.033557046979866223e-02,1.895439559865449985e-02,1.060334899019829691e-01
9.093959731543624359e-02,1.873701618048477513e-02,1.033690491844337367e-01
9.154362416107382494e-02,1.850485952852044466e-02,1.006844246075441346e-01
9.214765100671142017e-02,1.825765199089618776e-02,9.798282212393971680e-02
9.275167785234900153e-02,1.799486887597592441e-02,9.526017521345078731e-02
9.335570469798658289e-02,1.771663082530483893e-02,9.251794842800180330e-02
9.395973154362416424e-02,1.742205925287880486e-02,8.975593050519634075e-02
9.456375838926174560e-02,1.711029236032003686e-02,8.697258771051552539e-02
9.516778523489932695e-02,1.678285895387134075e-02,8.416412751928506464e-02
9.577181208053692218e-02,1.643546335213942264e-02,8.134371289652340964e-02
9.637583892617450354e-02,1.607191318814800082e-02,7.849567932979784057e-02
9.697986577181208490e-02,1.568954950688310201e-02,7.562875029106036484e-02
9.758389261744966625e-02,1.528782091655646845e-02,7.273870087249816041e-02
9.818791946308724761e-02,1.486815266434123213e-02,6.982937660871674224e-02
9.879194630872484284e-02,1.442773661110303626e-02,6.689075858101450889e-02
9.939597315436242420e-02,1.396829240720600350e-02,6.393745084065780016e-02
1.000000000000000056e-01,1.349042519587256850e-02,6.096276594168265756e-02
